"Player","Games","W","L","Win %","K","D","A","KDA","GPM","XPM","LH","DN","LVL","HD","TD","HH","GS"
"Solo","25","14","11","0.56","2.68","7.68","18.64","3.160025974025974","276.36","351.6","54","5.04","17","9917.12","811.76","1210.68","10150.6"
"9pasha","25","14","11","0.56","6.64","3.36","11.88","7.902","448.8","485.44","188.16","11.28","20.36","15544.56","2064.8","829.76","15719.2"
"RodjER","25","14","11","0.56","3.76","5.8","15.12","4.999943722943723","283.68","406.72","52","4.48","18.28","9766.88","411.32","2708.2","10134.6"
"Noone","25","14","11","0.56","8.56","3.44","11.04","8.460666666666667","559.56","598.56","273.12","14.92","22.16","22788.96","3559.24","361.84","19018.6"
"RAMZES666","25","14","11","0.56","9.52","4.08","11.28","7.780380952380952","558.44","605.04","279.92","15.48","22.16","21912.44","3826.4","396.2","19107.4"
"Miracle-","24","17","7","0.7083333333","11","5.166666666666667","9.5","6.771470658970659","625.9166666666666","629.9583333333334","299.2083333333333","16.541666666666668","22.25","26100.333333333332","4094.25","110.83333333333333","20910.833333333332"
"MinD ContRoL","24","17","7","0.7083333333","6.916666666666667","4.458333333333333","12.125","6.490488215488216","465.25","522.4166666666666","199.08333333333334","11.5","20.791666666666668","18437.625","3039.125","975.75","15710.416666666668"
"MATUMBAMAN","24","17","7","0.7083333333","8.333333333333334","5.25","11.291666666666666","6.402083333333334","526.7083333333334","561.5833333333334","226.25","7.791666666666667","21.25","24156.333333333332","4287.625","973","17306.666666666668"
"Zai","24","12","12","0.5","3.1666666666666665","7.25","14.041666666666666","3.0216021825396826","272.625","352.25","51.041666666666664","3.125","16.458333333333332","11574.25","598.875","2007.625","8889.583333333334"
"KuroKy","24","17","7","0.7083333333","2.7916666666666665","6.916666666666667","16.166666666666668","3.3815899378399377","304.2083333333333","383.9166666666667","59.25","2","17.791666666666668","10468.5","549.9166666666666","1797.625","9935"
"33","24","12","12","0.5","6.541666666666667","4.625","9.458333333333334","5.768005952380952","443.0416666666667","485.7916666666667","191.29166666666666","16.041666666666668","19.5","16297.291666666668","2264.6666666666665","600.7916666666666","14057.291666666668"
"Ppd","24","12","12","0.5","1.7083333333333333","8.541666666666666","12.041666666666666","2.1404976967476967","242.16666666666666","337.8333333333333","35.25","2.5416666666666665","16","8403.458333333334","250.125","959.2083333333334","7923.75"
"Pajkatt","24","12","12","0.5","6.75","3.5416666666666665","9.041666666666666","7.450347222222222","504.125","560.2916666666666","238.16666666666666","14.416666666666666","21.166666666666668","18656.625","2424.7083333333335","679.5","16016.458333333332"
"GH","24","17","7","0.7083333333","3.4583333333333335","7.291666666666667","18.666666666666668","3.810102513227513","295.2916666666667","430.2083333333333","51.458333333333336","2.7083333333333335","18.625","14169.916666666668","215.16666666666666","4772.583333333333","9400.625"
"Quinn","24","12","12","0.5","6.916666666666667","4.416666666666667","8.458333333333334","6.481068121693122","564.1666666666666","552.125","277.4583333333333","15.5","20.916666666666668","21137.666666666668","3357.0416666666665","4.166666666666667","17791.25"
